config,action
[470 445 800 300],2
[475 445 800 300],2
[480 445 800 300],2
[485 445 800 300],2
[490 445 800 300],2
[495 445 800 300],2
[500 445 800 300],2
[505 445 800 300],2
[510 445 800 300],2
[515 445 800 300],2
[520 445 800 300],2
[525 445 800 300],2
[530 445 800 300],2
[535 445 800 300],2
[540 445 800 300],2
[545 445 800 300],2
[550 445 800 300],2
[555 445 800 300],2
[560 445 800 300],2
[565 445 800 300],2
[570 445 800 300],2
[575 445 800 300],2
[580 445 800 300],2
[585 445 800 300],2
[590 445 800 300],2
[595 445 800 300],2
[600 445 800 300],2
[605 445 800 300],2
[610 445 800 300],2
[615 445 800 300],2
[620 445 800 300],2
[625 445 800 300],2
[630 445 800 300],2
[635 445 800 300],2
[640 445 800 300],2
[645 445 800 300],2
[650 445 800 300],2
[655 445 800 300],2
[660 445 800 300],2
[665 445 800 300],2
[670 445 800 300],2
[675 445 800 300],2
[680 445 800 300],2
[685 445 800 300],2
[690 445 800 300],2
[695 445 800 300],2
[700 445 800 300],2
[705 445 800 300],2
[710 445 800 300],2
[715 445 800 300],1
[715 440 800 300],1
[715 435 800 300],1
[715 430 800 300],1
[715 425 800 300],1
[715 420 800 300],1
[715 415 800 300],1
[715 410 800 300],1
[715 405 800 300],1
[715 400 800 300],1
[715 395 800 300],1
[715 390 800 300],1
[715 385 800 300],1
[715 380 800 300],1
[715 375 800 300],1
[715 370 800 300],1
[715 365 800 300],1
[715 360 800 300],1
[715 355 800 300],1
[715 350 800 300],1
[715 345 800 300],1
[715 340 800 300],1
[715 335 800 300],1
[715 330 800 300],1
[715 325 800 300],1
[715 320 800 300],1
[715 315 800 300],1
[715 310 800 300],1
[715 305 800 300],1
[715 300 800 300],2
[720 300 800 300],2
[725 300 800 300],2
[730 300 800 300],2
[735 300 800 300],2
[740 300 800 300],2
[745 300 800 300],2
[750 300 800 300],2
[755 300 800 300],2
[760 300 800 300],2
[765 300 800 300],2
[770 300 800 300],2
[ 50  50 800 300],3
[ 50  55 800 300],3
[ 50  60 800 300],3
[ 50  65 800 300],3
[ 50  70 800 300],3
[ 50  75 800 300],3
[ 50  80 800 300],3
[ 50  85 800 300],3
[ 50  90 800 300],3
[ 50  95 800 300],3
[ 50 100 800 300],3
[ 50 105 800 300],3
[ 50 110 800 300],3
[ 50 115 800 300],3
[ 50 120 800 300],3
[ 50 125 800 300],3
[ 50 130 800 300],3
[ 50 135 800 300],3
[ 50 140 800 300],3
[ 50 145 800 300],3
[ 50 150 800 300],3
[ 50 155 800 300],3
[ 50 160 800 300],3
[ 50 165 800 300],3
[ 50 170 800 300],3
[ 50 175 800 300],3
[ 50 180 800 300],3
[ 50 185 800 300],3
[ 50 190 800 300],3
[ 50 195 800 300],3
[ 50 200 800 300],3
[ 50 205 800 300],3
[ 50 210 800 300],3
[ 50 215 800 300],3
[ 50 220 800 300],3
[ 50 225 800 300],3
[ 50 230 800 300],3
[ 50 235 800 300],3
[ 50 240 800 300],3
[ 50 245 800 300],2
[ 55 245 800 300],2
[ 60 245 800 300],2
[ 65 245 800 300],2
[ 70 245 800 300],2
[ 75 245 800 300],2
[ 80 245 800 300],2
[ 85 245 800 300],2
[ 90 245 800 300],2
[ 95 245 800 300],2
[100 245 800 300],2
[105 245 800 300],2
[110 245 800 300],2
[115 245 800 300],2
[120 245 800 300],2
[125 245 800 300],2
[130 245 800 300],2
[135 245 800 300],2
[140 245 800 300],2
[145 245 800 300],2
[150 245 800 300],2
[155 245 800 300],2
[160 245 800 300],2
[165 245 800 300],2
[170 245 800 300],2
[175 245 800 300],2
[180 245 800 300],2
[185 245 800 300],2
[190 245 800 300],2
[195 245 800 300],2
[200 245 800 300],2
[205 245 800 300],2
[210 245 800 300],2
[215 245 800 300],2
[220 245 800 300],2
[225 245 800 300],2
[230 245 800 300],2
[235 245 800 300],2
[240 245 800 300],2
[245 245 800 300],2
[250 245 800 300],2
[255 245 800 300],2
[260 245 800 300],2
[265 245 800 300],2
[270 245 800 300],2
[275 245 800 300],2
[280 245 800 300],2
[285 245 800 300],2
[290 245 800 300],2
[295 245 800 300],2
[300 245 800 300],2
[305 245 800 300],2
[310 245 800 300],2
[315 245 800 300],2
[320 245 800 300],2
[325 245 800 300],2
[330 245 800 300],2
[335 245 800 300],2
[340 245 800 300],2
[345 245 800 300],2
[350 245 800 300],3
[350 250 800 300],3
[350 255 800 300],3
[350 260 800 300],3
[350 265 800 300],3
[350 270 800 300],3
[350 275 800 300],3
[350 280 800 300],3
[350 285 800 300],3
[350 290 800 300],3
[350 295 800 300],3
[350 300 800 300],3
[350 305 800 300],3
[350 310 800 300],3
[350 315 800 300],3
[350 320 800 300],3
[350 325 800 300],3
[350 330 800 300],3
[350 335 800 300],3
[350 340 800 300],3
[350 345 800 300],3
[350 350 800 300],3
[350 355 800 300],3
[350 360 800 300],3
[350 365 800 300],3
[350 370 800 300],3
[350 375 800 300],3
[350 380 800 300],3
[350 385 800 300],3
[350 390 800 300],3
[350 395 800 300],3
[350 400 800 300],3
[350 405 800 300],3
[350 410 800 300],3
[350 415 800 300],3
[350 420 800 300],3
[350 425 800 300],3
[350 430 800 300],3
[350 435 800 300],3
[350 440 800 300],3
[350 445 800 300],3
[350 450 800 300],2
[355 450 800 300],2
[360 450 800 300],2
[365 450 800 300],2
[370 450 800 300],2
[375 450 800 300],2
[380 450 800 300],2
[385 450 800 300],2
[390 450 800 300],2
[395 450 800 300],2
[400 450 800 300],2
[405 450 800 300],2
[410 450 800 300],2
[415 450 800 300],2
[420 450 800 300],2
[425 450 800 300],2
[430 450 800 300],2
[435 450 800 300],2
[440 450 800 300],2
[445 450 800 300],2
[450 450 800 300],2
[455 450 800 300],2
[460 450 800 300],2
[465 450 800 300],2
[470 450 800 300],2
[475 450 800 300],2
[480 450 800 300],2
[485 450 800 300],2
[490 450 800 300],2
[495 450 800 300],2
[500 450 800 300],2
[505 450 800 300],2
[510 450 800 300],2
[515 450 800 300],2
[520 450 800 300],2
[525 450 800 300],2
[530 450 800 300],2
[535 450 800 300],2
[540 450 800 300],2
[545 450 800 300],2
